,Recording timestamp,Participant name,Recording duration,Recording resolution height,Recording resolution width,Average calibration accuracy (pixels),Average calibration precision SD (pixels),Event,Event value,Gaze point X,Gaze point Y,Presented Media name,Eye movement type
0,0,ID007,390250,1080,1920,2,5,RecordingStart,,,,,
1,179108,ID007,390250,1080,1920,2,5,Eye tracker TTL in,255,,,,EyesNotFound
2,179108,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
3,187448,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
4,195781,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
5,204114,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
6,212448,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
7,220781,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
8,229114,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
9,237447,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
10,245780,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
11,254114,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
12,262447,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
13,270780,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
14,279113,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
15,287447,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
16,295780,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
17,304113,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
18,312446,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
19,320780,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
20,329113,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
21,337446,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
22,345779,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
23,354113,ID007,390250,1080,1920,2,5,,,,,,EyesNotFound
24,362454,ID007,390250,1080,1920,2,5,,,1021.0,189.0,,Saccade
25,370787,ID007,390250,1080,1920,2,5,,,1002.0,235.0,,Saccade
26,379120,ID007,390250,1080,1920,2,5,,,958.0,330.0,,Saccade
27,387455,ID007,390250,1080,1920,2,5,,,934.0,422.0,,Saccade
28,395790,ID007,390250,1080,1920,2,5,,,922.0,441.0,,Saccade
29,404124,ID007,390250,1080,1920,2,5,,,931.0,507.0,,Saccade
30,412459,ID007,390250,1080,1920,2,5,,,928.0,495.0,,Fixation
31,420793,ID007,390250,1080,1920,2,5,,,929.0,497.0,,Fixation
32,429127,ID007,390250,1080,1920,2,5,,,931.0,496.0,,Fixation
33,437462,ID007,390250,1080,1920,2,5,,,931.0,493.0,,Fixation
34,445797,ID007,390250,1080,1920,2,5,,,930.0,492.0,,Fixation
35,454131,ID007,390250,1080,1920,2,5,,,933.0,492.0,,Fixation
36,462465,ID007,390250,1080,1920,2,5,,,932.0,492.0,,Fixation
37,470799,ID007,390250,1080,1920,2,5,,,935.0,490.0,,Fixation
38,479132,ID007,390250,1080,1920,2,5,,,934.0,489.0,,Fixation
39,487466,ID007,390250,1080,1920,2,5,,,934.0,490.0,,Fixation
40,495800,ID007,390250,1080,1920,2,5,,,933.0,489.0,,Fixation
41,504133,ID007,390250,1080,1920,2,5,,,933.0,489.0,,Fixation
42,512467,ID007,390250,1080,1920,2,5,,,935.0,488.0,,Fixation
43,520801,ID007,390250,1080,1920,2,5,,,936.0,490.0,,Fixation
44,529134,ID007,390250,1080,1920,2,5,,,936.0,489.0,,Fixation
45,537468,ID007,390250,1080,1920,2,5,,,936.0,490.0,,Fixation
46,545802,ID007,390250,1080,1920,2,5,,,937.0,487.0,,Fixation
47,554135,ID007,390250,1080,1920,2,5,,,937.0,487.0,,Fixation
48,562469,ID007,390250,1080,1920,2,5,,,938.0,487.0,,Fixation
49,570803,ID007,390250,1080,1920,2,5,,,938.0,487.0,,Fixation
50,579136,ID007,390250,1080,1920,2,5,,,937.0,488.0,,Fixation
51,587470,ID007,390250,1080,1920,2,5,,,939.0,488.0,,Fixation
52,595804,ID007,390250,1080,1920,2,5,,,939.0,485.0,,Fixation
53,604138,ID007,390250,1080,1920,2,5,,,939.0,486.0,,Fixation
54,612473,ID007,390250,1080,1920,2,5,,,939.0,487.0,,Fixation
55,620806,ID007,390250,1080,1920,2,5,,,938.0,485.0,,Fixation
56,629139,ID007,390250,1080,1920,2,5,,,938.0,485.0,,Fixation
57,637474,ID007,390250,1080,1920,2,5,,,937.0,484.0,,Fixation
58,645807,ID007,390250,1080,1920,2,5,,,940.0,484.0,,Fixation
59,654141,ID007,390250,1080,1920,2,5,,,937.0,484.0,,Fixation
60,662476,ID007,390250,1080,1920,2,5,,,939.0,484.0,,Fixation
61,670809,ID007,390250,1080,1920,2,5,,,939.0,484.0,,Fixation
62,679143,ID007,390250,1080,1920,2,5,,,939.0,482.0,,Fixation
