,ID,Accuracy,Precision,Recall,F-measure,TP,FN,FP,TN,KeyMiss,Header,HeaderTime,Footer,URL
ID,1.0000,0.1666,0.2189,0.0981,0.1585,0.1027,-0.0956,-0.2563,0.2914,-0.1734,-0.3053,-0.3579,-0.2962,-0.0725
Accuracy,0.1666,1.0000,0.8309,0.9492,0.9963,0.9429,-0.9511,-0.7046,0.6620,0.1823,-0.0455,0.2169,0.0022,-0.0483
Precision,0.2189,0.8309,1.0000,0.6260,0.8091,0.6133,-0.6316,-0.9520,0.9335,0.2113,-0.2409,0.1070,0.0227,-0.1075
Recall,0.0981,0.9492,0.6260,1.0000,0.9625,0.9982,-0.9995,-0.4457,0.4014,0.1183,0.1099,0.2561,-0.0274,0.0056
F-measure,0.1585,0.9963,0.8091,0.9625,1.0000,0.9568,-0.9641,-0.6640,0.6241,0.1620,-0.0167,0.2168,-0.0113,-0.0459
TP,0.1027,0.9429,0.6133,0.9982,0.9568,1.0000,-0.9959,-0.4331,0.3883,0.0760,0.1010,0.2542,-0.0403,0.0013
FN,-0.0956,-0.9511,-0.6316,-0.9995,-0.9641,-0.9959,1.0000,0.4515,-0.4074,-0.1395,-0.1142,-0.2567,0.0208,-0.0077
FP,-0.2563,-0.7046,-0.9520,-0.4457,-0.6640,-0.4331,0.4515,1.0000,-0.9785,-0.2359,0.3834,-0.0384,-0.0632,0.1527
TN,0.2914,0.6620,0.9335,0.4014,0.6241,0.3883,-0.4074,-0.9785,1.0000,0.0943,-0.3897,-0.1238,-0.0011,-0.1350
KeyMiss,-0.1734,0.1823,0.2113,0.1183,0.1620,0.0760,-0.1395,-0.2359,0.0943,1.0000,0.1031,0.5662,0.3824,-0.0166
Header,-0.3053,-0.0455,-0.2409,0.1099,-0.0167,0.1010,-0.1142,0.3834,-0.3897,0.1031,1.0000,0.2731,0.1724,0.5015
HeaderTime,-0.3579,0.2169,0.1070,0.2561,0.2168,0.2542,-0.2567,-0.0384,-0.1238,0.5662,0.2731,1.0000,0.2111,0.0538
Footer,-0.2962,0.0022,0.0227,-0.0274,-0.0113,-0.0403,0.0208,-0.0632,-0.0011,0.3824,0.1724,0.2111,1.0000,0.2246
URL,-0.0725,-0.0483,-0.1075,0.0056,-0.0459,0.0013,-0.0077,0.1527,-0.1350,-0.0166,0.5015,0.0538,0.2246,1.0000
