ID,Accuracy,Precision,Recall,F-measure,TP,FN,FP,TN,KeyMiss,Header,HeaderTime,Footer,URL
000,1.0000,1.0000,1.0000,1.0000,10,0,0,4,1,0.1610,0.1180,0.1629,0.0655
001,0.8667,0.8333,1.0000,0.9091,10,0,2,3,0,0.3358,0.0556,0.0660,0.0785
002,0.6000,0.8333,0.5000,0.6250,5,5,1,4,0,0.1129,0.0614,0.0000,0.0542
003,0.6667,0.8571,0.6000,0.7059,6,4,1,4,0,0.0000,0.0000,0.0000,0.0000
004,0.8667,0.9000,0.9000,0.9000,9,1,1,4,0,0.0739,0.0124,0.0486,0.0534
005,0.9333,1.0000,0.9000,0.9474,9,1,0,5,0,0.1428,0.0130,0.1598,0.0819
006,0.6000,0.8333,0.5000,0.6250,5,5,1,4,0,0.0895,0.0188,0.1916,0.1036
007,1.0000,1.0000,1.0000,1.0000,10,0,0,5,0,0.2970,0.0107,0.0776,0.1403
008,0.8000,1.0000,0.7000,0.8235,7,3,0,5,0,0.1261,0.0250,0.1324,0.0954
009,0.8000,1.0000,0.7000,0.8235,7,3,0,5,0,0.2059,0.0368,0.0000,0.0838
010,0.3333,0.5000,0.3000,0.3750,3,7,3,2,0,0.1901,0.0000,0.0000,0.0679
011,0.6667,1.0000,0.5000,0.6667,5,5,0,5,0,0.1697,0.0078,0.0846,0.0975
012,0.7857,1.0000,0.6667,0.8000,6,3,0,5,1,0.2144,0.0215,0.1362,0.0959
013,1.0000,1.0000,1.0000,1.0000,10,0,0,5,0,0.0836,0.0000,0.0975,0.0260
014,0.8667,1.0000,0.8000,0.8889,8,2,0,5,0,0.1042,0.0192,0.1059,0.0739
015,0.7333,0.8750,0.7000,0.7778,7,3,1,4,0,0.2155,0.0050,0.0646,0.0562
016,0.8667,0.8333,1.0000,0.9091,10,0,2,3,0,0.2926,0.0326,0.0487,0.1420
017,0.8667,0.9000,0.9000,0.9000,9,1,1,4,0,0.1269,0.0243,0.0151,0.1516
018,0.6667,0.7778,0.7000,0.7368,7,3,2,3,0,0.3009,0.0197,0.1108,0.0954
019,0.3333,0.5000,0.3000,0.3750,3,7,3,2,0,0.2118,0.0117,0.1658,0.1448
101,1.0000,1.0000,1.0000,1.0000,10,0,0,5,0,0.0247,0.0000,0.0042,0.0726
102,0.6667,0.8571,0.6000,0.7059,6,4,1,4,0,0.0917,0.0000,0.0606,0.0210
103,0.8000,1.0000,0.7000,0.8235,7,3,0,5,0,0.0994,0.0000,0.0537,0.1099
104,1.0000,1.0000,1.0000,1.0000,10,0,0,5,0,0.1621,0.0187,0.0606,0.0565
105,0.8000,1.0000,0.7000,0.8235,7,3,0,5,0,0.1213,0.0089,0.0156,0.1026
