ID,01_Kyoumu_T.png,02_Amazon2_F.png,03_Amazon3_F.png,04_Rakuten2_F.png,05_ticket_T.png,06_Rakuten_F.png,07_Rakuten_T.png,08_yodobasi_F.png,09_Apple1_F.png,10_Kankou_T.png,11_LINE_F.png,12_Kyufu2_F.png,13_ponta_T.png,14_Kyufu_F.png,15_SMBC_F.png
ID000,6.633282,10.216574,5.58366,6.999929,5.533282,10.033595,9.11659,7.833262,7.433271,9.866582,6.616978,12.383224,10.050316,7.233343,9.383233
ID001,14.883203,7.849935,8.183259,7.483626,9.916563,10.300269,17.79983,16.366509,10.733593,11.399902,13.116915,13.383212,18.583225,13.500235,7.64992
ID002,9.799865,9.816524,2.699963,15.767044,6.933258,7.11664,13.883412,11.966543,13.916866,9.583249,10.28325,9.399913,11.849882,11.483384,11.433229
ID003,15.217012,30.716489,3.416631,19.949939,11.283942,2.716644,36.216285,9.900303,3.683504,14.766515,13.549879,7.5169,18.083485,16.116535,10.600275
ID004,40.016854,32.400183,22.40009,28.066825,56.366987,38.716875,41.033541,21.283443,24.15017,35.516866,12.150093,36.15854,35.458526,23.866802,31.933512
ID005,27.416806,24.300139,7.966655,13.85009,11.533411,23.083456,5.650042,7.533388,8.78337,15.166714,25.016791,35.916883,13.000047,24.383436,27.566795
ID006,23.466827,26.816824,11.633393,18.000101,25.750121,15.816777,19.816749,11.850069,5.400038,25.48345,4.5667,8.66674,9.350069,16.06677,11.050033
ID007,22.033461,4.300034,11.350059,21.083504,31.283526,31.883527,27.750163,6.316714,4.733369,36.750164,8.98341,21.20013,25.766856,12.43343,17.033474
ID008,23.650122,13.783415,15.183406,22.016829,19.466789,24.816808,24.483486,18.816803,14.266711,17.683428,9.85007,20.116804,22.083462,10.866705,21.816829
ID009,6.300018,4.066684,7.250046,11.866707,9.250039,11.900043,27.483446,14.166705,14.416714,19.716726,6.550021,27.916777,18.316733,16.233385,9.433382
ID010,2.200025,1.083337,1.283338,1.966675,1.116675,1.866672,1.116667,1.066667,1.300005,1.266673,1.600009,1.233337,5.200014,2.433361,4.466687
ID011,13.633485,13.799946,12.216783,18.316657,23.76677,19.683389,39.883495,34.533534,10.216774,37.783424,23.566756,21.100061,16.433375,35.416876,16.633329
ID012,5.733379,6.516735,7.749951,17.200165,7.533287,6.866734,7.666696,14.150128,7.733299,8.116724,8.783331,7.233404,11.200089,10.733451,5.816705
ID013,29.116774,11.48338,6.133361,15.066691,22.0334,16.28334,25.916739,17.366725,6.033366,26.500091,9.383373,8.666679,36.200075,8.633371,5.350027
ID014,28.383426,4.600037,4.183374,5.333252,22.366842,10.516634,19.266711,3.533357,7.916723,32.683483,7.89995,26.133412,13.816781,14.599996,24.416732
ID015,112.183868,32.450137,14.800051,51.700268,53.100226,28.883466,58.150286,51.133588,59.55025,50.60859,27.150127,43.800198,57.383614,88.633755,116.550561
ID016,15.133311,9.016724,5.999937,5.300037,13.500084,8.28327,20.233379,5.500024,7.366711,22.200031,6.933373,10.166614,25.283399,6.63338,16.783334
ID017,24.316759,14.066737,3.900018,25.750084,23.866739,28.816741,21.950097,6.516661,12.466721,21.600068,20.083384,40.28348,14.483388,31.433465,24.55007
ID018,32.533458,20.750093,13.40004,41.833548,48.63352,35.050147,45.216883,13.883371,11.983389,19.583444,9.533352,9.633378,38.7835,20.783421,28.10015
ID019,60.450195,23.416736,34.533461,33.250137,52.933517,53.7502,102.017082,39.6168,46.566864,22.016737,26.53344,18.30007,30.433474,50.966874,22.266761
ID101,17.650175,19.966696,17.966865,13.449984,17.466857,21.950008,12.750112,13.116711,9.433386,15.766762,7.033413,18.433327,20.2668,12.98339,13.633398
ID102,13.366684,14.900133,21.466899,12.700127,18.816743,11.05011,20.733456,15.433373,16.533394,12.483463,11.516671,21.466742,18.100188,10.716669,13.416802
ID103,9.75012,21.11679,2.833363,32.966779,22.950119,15.350163,7.383314,6.283393,10.216766,12.100158,7.200067,33.550194,9.116751,5.599958,20.916774
ID104,38.050069,37.316843,41.333499,46.333495,26.000093,39.383458,45.150178,40.083521,32.350068,36.70017,14.383381,57.783614,44.850172,25.333434,26.800115
ID105,12.083407,38.183473,2.966687,20.416761,28.36678,12.550029,47.850213,12.458426,15.216751,24.350097,12.783361,29.250158,25.116798,7.416684,41.016858
