ID,Accuracy,Precision,Recall,F-measure,TP,FN,FP,TN,KeyMiss
ID000,1.0,1.0,1.0,1.0,10,0,0,4,1
ID001,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091,10,0,2,3,0
ID002,0.6,0.8333333333333334,0.5,0.625,5,5,1,4,0
ID003,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764,6,4,1,4,0
ID004,0.8666666666666667,0.9,0.9,0.9,9,1,1,4,0
ID005,0.9333333333333333,1.0,0.9,0.9473684210526316,9,1,0,5,0
ID006,0.6,0.8333333333333334,0.5,0.625,5,5,1,4,0
ID007,1.0,1.0,1.0,1.0,10,0,0,5,0
ID008,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0
ID009,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0
ID010,0.3333333333333333,0.5,0.3,0.37499999999999994,3,7,3,2,0
ID011,0.6666666666666666,1.0,0.5,0.6666666666666666,5,5,0,5,0
ID012,0.7857142857142857,1.0,0.6666666666666666,0.8,6,3,0,5,1
ID013,1.0,1.0,1.0,1.0,10,0,0,5,0
ID014,0.8666666666666667,1.0,0.8,0.888888888888889,8,2,0,5,0
ID015,0.7333333333333333,0.875,0.7,0.7777777777777777,7,3,1,4,0
ID016,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091,10,0,2,3,0
ID017,0.8666666666666667,0.9,0.9,0.9,9,1,1,4,0
ID018,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631577,7,3,2,3,0
ID019,0.3333333333333333,0.5,0.3,0.37499999999999994,3,7,3,2,0
ID101,1.0,1.0,1.0,1.0,10,0,0,5,0
ID102,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764,6,4,1,4,0
ID103,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0
ID104,1.0,1.0,1.0,1.0,10,0,0,5,0
ID105,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0
