,ID,Accuracy,Precision,Recall,F-measure,TP,FN,FP,TN,KeyMiss,Header,HeaderTime,Footer,URL
ID,1.0000,0.1861,0.2291,0.1057,0.1722,0.1116,-0.1026,-0.2723,0.2723,-0.1004,-0.3023,-0.4206,-0.3051,-0.0982
Accuracy,0.1861,1.0000,0.7609,0.9367,0.9949,0.9289,-0.9390,-0.5961,0.5961,-0.0068,-0.0107,-0.0819,-0.2594,-0.0811
Precision,0.2291,0.7609,1.0000,0.4995,0.7247,0.4843,-0.5063,-0.9417,0.9417,0.1589,-0.2465,-0.1728,-0.2283,-0.1798
Recall,0.1057,0.9367,0.4995,1.0000,0.9559,0.9977,-0.9994,-0.2773,0.2773,-0.0952,0.1600,0.0262,-0.2546,-0.0080
F-measure,0.1722,0.9949,0.7247,0.9559,1.0000,0.9490,-0.9576,-0.5379,0.5379,-0.0228,0.0249,-0.0604,-0.2738,-0.0809
TP,0.1116,0.9289,0.4843,0.9977,0.9490,1.0000,-0.9948,-0.2630,0.2630,-0.1624,0.1490,0.0225,-0.2687,-0.0123
FN,-0.1026,-0.9390,-0.5063,-0.9994,-0.9576,-0.9948,1.0000,0.2840,-0.2840,0.0610,-0.1652,-0.0281,0.2470,0.0058
FP,-0.2723,-0.5961,-0.9417,-0.2773,-0.5379,-0.2630,0.2840,1.0000,-1.0000,-0.1732,0.4033,0.2882,0.1344,0.2072
TN,0.2723,0.5961,0.9417,0.2773,0.5379,0.2630,-0.2840,-1.0000,1.0000,0.1732,-0.4033,-0.2882,-0.1344,-0.2072
KeyMiss,-0.1004,-0.0068,0.1589,-0.0952,-0.0228,-0.1624,0.0610,-0.1732,0.1732,1.0000,0.1401,0.0521,0.2402,0.0640
Header,-0.3023,-0.0107,-0.2465,0.1600,0.0249,0.1490,-0.1652,0.4033,-0.4033,0.1401,1.0000,0.4553,0.2075,0.5144
HeaderTime,-0.4206,-0.0819,-0.1728,0.0262,-0.0604,0.0225,-0.0281,0.2882,-0.2882,0.0521,0.4553,1.0000,-0.1163,0.1901
Footer,-0.3051,-0.2594,-0.2283,-0.2546,-0.2738,-0.2687,0.2470,0.1344,-0.1344,0.2402,0.2075,-0.1163,1.0000,0.2559
URL,-0.0982,-0.0811,-0.1798,-0.0080,-0.0809,-0.0123,0.0058,0.2072,-0.2072,0.0640,0.5144,0.1901,0.2559,1.0000
